DATE,PPIF,PPID,PPIMPF,PPIS,URATE,CBPR,CCI,CSI,DECSP
7/1/2004,132.6,11.7,143.8,144.9,5.70%,1.25%,101.0669,96.7,36.990002
8/1/2004,130.6,12.7,141.7,145,5.40%,1.50%,101.0423,95.9,34.700001
9/1/2004,134.6,13.1,138.2,145.3,5.10%,1.75%,100.9237,94.2,38.209999
10/1/2004,133.9,13.5,139.9,145.3,5.10%,1.75%,100.8346,91.7,38.299999
11/1/2004,135.4,13.3,139.3,145.3,5.20%,2.00%,100.8987,92.8,42.369999
12/1/2004,134.9,13.5,141.5,145.3,5.10%,2.25%,101.0342,97.1,41.889999
1/1/2005,134.9,13.7,141.4,151.5,5.70%,2.25%,101.0195,95.5,43.130001
2/1/2005,136.1,13.9,145,151.6,5.80%,2.50%,100.8642,94.1,47.080002
3/1/2005,136.3,14.6,146.4,151.5,5.40%,2.75%,100.6351,92.6,47.68
4/1/2005,134.5,15.2,144.8,151.5,4.90%,2.75%,100.4471,87.7,40.900002
5/1/2005,135.4,14.4,147.9,152.6,4.90%,3.00%,100.5149,86.9,47.610001
6/1/2005,136.3,14.8,142.8,152.6,5.20%,3.25%,100.7646,96,43.389999
7/1/2005,136.1,13.6,140.7,152.6,5.20%,3.25%,100.6712,96.5,43.919998
8/1/2005,135.8,13,140,152.4,4.90%,3.50%,100.0811,89.1,40.16
9/1/2005,136.2,12.9,141.3,152.5,4.80%,3.75%,99.3639,76.9,40.740002
10/1/2005,136.7,13.2,143.6,152.2,4.60%,3.75%,99.13113,74.2,47.220001
11/1/2005,138.5,13.3,141,152.2,4.80%,4.00%,99.51689,81.6,47.799999
12/1/2005,137.5,13.4,141.5,152.1,4.60%,4.25%,100.0925,91.5,46.91
1/1/2006,136.9,14.2,139.6,152.2,5.10%,4.50%,100.3522,91.2,49.169998
2/1/2006,139.2,14.6,136.9,157.6,5.10%,4.50%,100.3037,86.7,50.900002
3/1/2006,138.7,14.7,137.1,157.7,4.80%,4.75%,100.1726,88.9,47.939999
4/1/2006,142.3,14.9,135.3,158.5,4.50%,4.75%,99.92156,87.4,47.919998
5/1/2006,143.8,14,136.4,158.5,4.40%,5.00%,99.64022,79.1,48.02
6/1/2006,144.7,13.7,139.7,158.5,4.80%,5.25%,99.61951,84.9,48.080002
7/1/2006,147.6,13.1,141.4,158.6,5.00%,5.25%,99.65558,84.7,45.459999
8/1/2006,144,13.5,139.9,158.6,4.60%,5.25%,99.75361,82,46.689999
9/1/2006,145.3,14.6,141.1,159.9,4.40%,5.25%,100.0681,85.4,46.349998
10/1/2006,149.4,15.3,138,160.7,4.10%,5.25%,100.4871,93.6,52.169998
11/1/2006,149.6,15.6,137,160.9,4.30%,5.25%,100.7175,92.1,52.610001
12/1/2006,147.5,15.2,136.7,160.4,4.30%,5.25%,100.8326,91.7,52.700001
1/1/2007,146.8,15.4,139.7,160.2,5.00%,5.25%,100.8646,96.9,53.200001
2/1/2007,146.9,15.5,144.1,160.2,4.90%,5.25%,100.642,91.3,55.610001
3/1/2007,148.9,15.5,147.9,161.1,4.50%,5.25%,100.3709,88.4,58.650002
4/1/2007,151.6,15.5,149.3,166.9,4.30%,5.25%,100.1973,87.1,58.919998
5/1/2007,152.4,15.7,152.1,167,4.30%,5.25%,100.1371,88.3,58.150002
6/1/2007,156.1,13.7,150.5,167,4.70%,5.25%,100.0966,85.3,54.43
7/1/2007,159.3,12.7,145.9,167.3,4.90%,5.25%,100.0735,90.4,65.230003
8/1/2007,163.5,12.6,145.6,169.8,4.60%,5.25%,99.84492,83.4,62.869999
9/1/2007,175.4,13.3,145.7,170.3,4.50%,4.75%,99.59047,83.4,63.330002
10/1/2007,185.4,13.9,142.7,172,4.40%,4.50%,99.29672,80.9,63.330002
11/1/2007,185.7,14.8,139.7,172.6,4.50%,4.50%,99.01166,76.1,50.740002
12/1/2007,197.5,14.9,140.6,172.5,4.80%,4.25%,98.84393,75.5,36.580002
1/1/2008,203.3,15.5,142.9,169.1,5.40%,3.00%,98.68272,78.4,53.240002
2/1/2008,224.4,15.7,143.6,169.3,5.20%,3.00%,98.29472,70.8,45.779999
3/1/2008,233.8,14.5,146.7,169.3,5.20%,2.25%,97.82694,69.5,47.900002
4/1/2008,219.3,13.7,146.3,175.9,4.80%,2.00%,97.29967,62.6,46.639999
5/1/2008,212.4,13.4,151.1,176.7,5.20%,2.00%,96.9211,59.8,46.889999
6/1/2008,211.7,12.5,152,177.3,5.70%,2.00%,96.80205,56.4,37.360001
7/1/2008,203.2,12.1,157.3,177.7,6.00%,2.00%,97.00478,61.2,23.1
8/1/2008,204.1,12,160.6,182.5,6.10%,2.00%,97.26161,63,19.860001
9/1/2008,196.5,12.1,159.3,181.7,6.00%,2.00%,97.33752,70.3,16.860001
10/1/2008,187.3,12,153,186.7,6.10%,1.00%,96.98524,57.6,18.030001
11/1/2008,185.3,12.4,148.7,186.8,6.50%,1.00%,96.72913,55.3,12.73
12/1/2008,180.3,12.5,147.1,187.5,7.10%,0.13%,96.72167,60.1,11.56
1/1/2009,182.6,12.7,146.6,185.1,8.50%,0.13%,96.72887,61.2,8.84
