DATE,PPIF,PPID,PPIMPF,PPIS,URATE,CBPR,CCI,CSI,DRCSP
12/1/2006,147.5,15.2,136.7,160.4,4.30%,5.25%,100.8326,91.7,40.169998
1/1/2007,146.8,15.4,139.7,160.2,5.00%,5.25%,100.8646,96.9,39.139999
2/1/2007,146.9,15.5,144.1,160.2,4.90%,5.25%,100.642,91.3,40.990002
3/1/2007,148.9,15.5,147.9,161.1,4.50%,5.25%,100.3709,88.4,41.189999
4/1/2007,151.6,15.5,149.3,166.9,4.30%,5.25%,100.1973,87.1,41.48
5/1/2007,152.4,15.7,152.1,167,4.30%,5.25%,100.1371,88.3,45.57
6/1/2007,156.1,13.7,150.5,167,4.70%,5.25%,100.0966,85.3,43.990002
7/1/2007,159.3,12.7,145.9,167.3,4.90%,5.25%,100.0735,90.4,42.57
8/1/2007,163.5,12.6,145.6,169.8,4.60%,5.25%,99.84492,83.4,41.599998
9/1/2007,175.4,13.3,145.7,170.3,4.50%,4.75%,99.59047,83.4,41.860001
10/1/2007,185.4,13.9,142.7,172,4.40%,4.50%,99.29672,80.9,43
11/1/2007,185.7,14.8,139.7,172.6,4.50%,4.50%,99.01166,76.1,39.790001
12/1/2007,197.5,14.9,140.6,172.5,4.80%,4.25%,98.84393,75.5,27.709999
1/1/2008,203.3,15.5,142.9,169.1,5.40%,3.00%,98.68272,78.4,28.33
2/1/2008,224.4,15.7,143.6,169.3,5.20%,3.00%,98.29472,70.8,30.83
3/1/2008,233.8,14.5,146.7,169.3,5.20%,2.25%,97.82694,69.5,32.549999
4/1/2008,219.3,13.7,146.3,175.9,4.80%,2.00%,97.29967,62.6,35.580002
5/1/2008,212.4,13.4,151.1,176.7,5.20%,2.00%,96.9211,59.8,34.25
6/1/2008,211.7,12.5,152,177.3,5.70%,2.00%,96.80205,56.4,31.940001
7/1/2008,203.2,12.1,157.3,177.7,6.00%,2.00%,97.00478,61.2,32.57
8/1/2008,204.1,12,160.6,182.5,6.10%,2.00%,97.26161,63,29.290001
9/1/2008,196.5,12.1,159.3,181.7,6.00%,2.00%,97.33752,70.3,28.629999
10/1/2008,187.3,12,153,186.7,6.10%,1.00%,96.98524,57.6,22.17
11/1/2008,185.3,12.4,148.7,186.8,6.50%,1.00%,96.72913,55.3,18.290001
12/1/2008,180.3,12.5,147.1,187.5,7.10%,0.13%,96.72167,60.1,28.18
1/1/2009,182.6,12.7,146.6,185.1,8.50%,0.13%,96.72887,61.2,26.219999
2/1/2009,181.3,12.9,145.5,184.7,8.90%,0.13%,96.70288,56.3,27.139999
3/1/2009,182.1,12.5,143.6,185,9.00%,0.13%,96.90442,57.3,34.259998
4/1/2009,180.3,12.5,146,187.7,8.60%,0.13%,97.35168,65.1,36.970001
5/1/2009,180.6,11.3,150.8,187.4,9.10%,0.13%,97.73651,68.7,36.169998
6/1/2009,186.3,10.1,149.5,187.8,9.70%,0.13%,97.89584,70.8,32.98
7/1/2009,175.8,10.2,146.6,187.5,9.70%,0.13%,97.85072,66,32.389999
8/1/2009,172.7,10.5,145.5,188.4,9.60%,0.13%,97.89433,65.7,32.93
9/1/2009,169.5,10.4,145.3,188.4,9.50%,0.13%,98.07182,73.5,34.130001
10/1/2009,170.9,11.9,142.6,188.6,9.50%,0.13%,98.10139,70.6,30.309999
11/1/2009,171.5,13,142.3,188.5,9.40%,0.13%,98.1154,67.4,31.43
12/1/2009,171.2,13.7,145.1,188.5,9.70%,0.13%,98.28918,72.5,35.07
1/1/2010,170.3,14,148.7,186.5,10.60%,0.13%,98.45027,74.4,36.959999
2/1/2010,170.7,14.2,151.1,186.6,10.40%,0.13%,98.50518,73.6,40.549999
3/1/2010,168.5,14.3,153.9,187.8,10.20%,0.13%,98.5021,73.6,44.540001
4/1/2010,167.9,13.9,158.5,189.2,9.50%,0.13%,98.48174,72.2,44.75
5/1/2010,170.3,13.7,166,189.5,9.30%,0.13%,98.48048,73.6,42.900002
6/1/2010,167.5,13.5,159,189.4,9.60%,0.13%,98.38577,76,38.849998
7/1/2010,171.8,12.7,158.3,189.5,9.70%,0.13%,98.10231,67.8,41.889999
8/1/2010,182.7,12.6,158,189.8,9.50%,0.13%,97.92944,68.9,41.259998
9/1/2010,183,12.9,162.7,190.1,9.20%,0.13%,97.87881,68.2,42.779999
10/1/2010,183.6,12.9,161.2,190.7,9.00%,0.13%,97.97691,67.7,45.709999
11/1/2010,189.3,13.1,158.3,190.8,9.30%,0.13%,98.23312,71.6,48.950001
12/1/2010,192.3,13.5,160.3,193,9.10%,0.13%,98.4829,74.5,46.439999
1/1/2011,197.1,14.4,160.7,186.9,9.80%,0.13%,98.59072,74.2,47.110001
